token,label,sentence_id
invoice,O,0
no:,O,0
84652373,B-INVOICE_NUMBER,0
date,O,0
of,O,0
issue:,O,0
02/23/2021,B-INVOICE_DATE,0
seller:,O,0
client:,O,0
nguyen-roach,O,0
clark-foster,O,0
247,O,0
david,O,0
highway,O,0
77477,O,0
cliff,O,0
apt.,O,0
853,O,0
lake,O,0
john,O,0
wv,O,0
84178,O,0
washingtonbury,O,0
ms,O,0
78346,O,0
tax,O,0
id:,O,0
991-72-5826,O,0
tax,O,0
id:,O,0
937-70-8530,O,0
iban:,O,0
gb91/yxo05542456978150,O,0
items,O,0
no.,O,0
description,O,0
qty,O,0
um,O,0
net,O,0
price,O,0
net,O,0
worth,O,0
vat,O,0
gross,O,0
worth,O,0
stemware,O,0
rack,O,0
display,O,0
kitchen,O,0
100,O,0
each,O,0
4232,O,0
4232,O,0
10,O,0
4655,O,0
wine,O,0
glass,O,0
holder,O,0
bottle,O,0
carbon,O,0
steel,O,0
free,O,0
punch,O,0
2,O,0
vtg,O,0
4,O,0
7,O,0
ounce,O,0
since,O,0
1852,O,0
100,O,0
each,O,0
1400,O,0
1400,O,0
10,O,0
1540,O,0
milk,O,0
bottle,O,0
wine,O,0
carafe,O,0
juice,O,0
glass,O,0
with,O,0
cork,O,0
lids,O,0
3,O,0
vintage,O,0
crystal,O,0
red,O,0
wine,O,0
100,O,0
each,O,0
3545,O,0
3545,O,0
10,O,0
3900,O,0
glasses,O,0
nos,O,0
west,O,0
germany,O,0
1983,O,0
6,O,0
10,O,0
ounce,O,0
elegant,O,0
stems,O,0
3,O,0
ikea,O,0
stainless,O,0
steel,O,0
4-bottle,O,0
400,O,0
each,O,0
2500,O,0
10000,O,0
10,O,0
11000,O,0
wine,O,0
rack,O,0
300.557.60,O,0
great,O,0
condition,O,0
gift,O,0
it,O,0
5,O,0
lolita,O,0
wine,O,0
bouquet,O,0
hand,O,0
100,O,0
each,O,0
2000,O,0
2000,O,0
10,O,0
2200,O,0
painted,O,0
and,O,0
decorated,O,0
wine,O,0
glass,O,0
nib,O,0
summary,O,0
vat,O,0
net,O,0
worth,O,0
vat,O,0
gross,O,0
worth,O,0
10,O,0
21177,O,0
2118,O,0
23295,O,0
total,O,0
21177,O,0
2118,O,0
23295,O,0
troy,O,0
invoice,O,0
no:,O,0
37451664,B-INVOICE_NUMBER,0
date,O,0
of,O,0
issue:,O,0
06/11/2020,B-INVOICE_DATE,0
seller:,O,0
client:,O,0
scott-howard,O,0
williams,O,0
schneider,O,0
and,O,0
gomez,O,0
45558,O,0
davis,O,0
mountains,O,0
588,O,0
morales,O,0
rapids,O,0
east,O,0
zacharyville,O,0
ia,O,0
99376,O,0
east,O,0
katherineton,O,0
mt,O,0
53545,O,0
tax,O,0
id:,O,0
997-75-1112,O,0
tax,O,0
id:,O,0
