token,label
invoice,O
no:,O
84652373,B-INVOICE_NUMBER
date,O
of,O
issue:,O
02/23/2021,B-INVOICE_DATE
seller:,O
client:,O
nguyen-roach,B-SELLER_NAME
clark-foster,B-CLIENT_NAME
247,B-SELLER_ADDRESS
david,I-SELLER_ADDRESS
highway,I-SELLER_ADDRESS
77477,B-CLIENT_ADDRESS
cliff,I-CLIENT_ADDRESS
apt.,I-CLIENT_ADDRESS
853,I-CLIENT_ADDRESS
lake,I-SELLER_ADDRESS
john,O
wv,I-SELLER_ADDRESS
84178,I-SELLER_ADDRESS
washingtonbury,O
ms,I-CLIENT_ADDRESS
78346,I-CLIENT_ADDRESS
tax,O
id:,O
991-72-5826,O
tax,O
id:,O
937-70-8530,O
iban:,O
gb91/yxo05542456978150,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
stemware,O
rack,O
display,O
kitchen,O
100,O
each,O
4232,O
4232,O
10,O
4655,O
wine,O
glass,O
holder,O
bottle,O
carbon,O
steel,O
free,O
punch,O
2,O
vtg,O
4,O
7,O
ounce,O
since,O
1852,O
100,O
each,O
1400,O
1400,O
10,O
1540,O
milk,O
bottle,O
wine,O
carafe,O
juice,O
glass,O
with,O
cork,O
lids,O
3,O
vintage,O
crystal,O
red,O
wine,O
100,O
each,O
3545,O
3545,O
10,O
3900,O
glasses,O
nos,O
west,O
germany,O
1983,O
6,O
10,O
ounce,O
elegant,O
stems,O
3,O
ikea,O
stainless,O
steel,O
4-bottle,O
400,O
each,O
2500,O
10000,O
10,O
11000,O
wine,O
rack,O
300.557.60,O
great,O
condition,O
gift,O
it,O
5,O
lolita,O
wine,O
bouquet,O
hand,O
100,O
each,O
2000,O
2000,O
10,O
2200,O
painted,O
and,O
decorated,O
wine,O
glass,O
nib,O
summary,O
vat,O
net,O
worth,O
vat,O
gross,O
worth,O
10,O
21177,O
2118,O
23295,O
total,O
21177,O
2118,O
23295,O
troy,I-CLIENT_ADDRESS
,
invoice,O
no:,O
37451664,B-INVOICE_NUMBER
date,O
of,O
issue:,O
06/11/2020,B-INVOICE_DATE
seller:,O
client:,O
scott-howard,B-SELLER_NAME
williams,O
schneider,I-CLIENT_NAME
and,I-CLIENT_NAME
gomez,I-CLIENT_NAME
45558,B-SELLER_ADDRESS
davis,I-SELLER_ADDRESS
mountains,I-SELLER_ADDRESS
588,B-CLIENT_ADDRESS
morales,I-CLIENT_ADDRESS
rapids,I-CLIENT_ADDRESS
east,I-CLIENT_ADDRESS
zacharyville,O
ia,I-SELLER_ADDRESS
99376,I-SELLER_ADDRESS
east,I-CLIENT_ADDRESS
katherineton,O
mt,I-CLIENT_ADDRESS
53545,I-CLIENT_ADDRESS
tax,O
id:,O
997-75-1112,O
tax,O
id:,O
916-94-8739,O
iban:,O
gb3ikiav64209378666800,O
items,O
no.,O
description,O
qty,O
um,O
net,O
price,O
net,O
worth,O
vat,O
gross,O
worth,O
puma,O
boys,O
youth,O
universal,O
fg,O
200,O
each,O
1999,O
3998,O
10,O
4398,O
jr,O
soccer,O
cleats,O
2.5,O
white,O
high,O
red,O
new,O
futbol,O
2,O
lotto,O
youth,O
boys,O
fuerzapura,O
500,O
each,O
1999,O
9995,O
10,O
10994,O
lsoo,O
jr,O
soccer,O
cleats,O
size,O
2.5,O
white,O
blue,O
