invoice_details,line_items,summary
"Invoice Number: 84652373, Date: 02/23/2021, Seller: , Client: nguyen-roach clark-foster 247 david highway 77477 cliff apt. 853 lake john wv 84178 washingtonbury ms 78346",N/A,net worth vat gross worth stemware rack display kitchen 100 each 4232 4232 10 4655 wine glass holder bottle carbon steel free punch 2 vtg 4 7 ounce since 1852 100 each 1400 1400 10 1540 milk bottle wine carafe juice glass with cork lids 3 vintage crystal red wine 100 each 3545 3545 10 3900 glasses nos west germany 1983 6 10 ounce elegant stems 3 ikea stainless steel 4-bottle 400 each 2500 10000 10 11000 wine rack 300.557.60 great condition gift it 5 lolita wine bouquet hand 100 each 2000 2000 10 2200 painted and decorated wine glass nib summary vat net worth vat gross worth 10 21177 2118 23295 total 21177 2118 23295 troy
"Invoice Number: 37451664, Date: 06/11/2020, Seller: , Client: scott-howard williams schneider and gomez 45558 davis mountains 588 morales rapids east zacharyville ia 99376 east katherineton mt 53545",N/A,net worth vat gross worth puma boys youth universal fg 200 each 1999 3998 10 4398 jr soccer cleats 2.5 white high red new futbol 2 lotto youth boys fuerzapura 500 each 1999 9995 10 10994 lsoo jr soccer cleats size 2.5 white blue m6147 2.5y summary vat net worth vat gross worth 10 13993 1399 15392 total 13993 1399 15392
"Invoice Number: 40108666, Date: 02/07/2020, Seller: , Client: bailey murray and lewis hester inc 33771 powell pike suite 054 4000 tonya rapid suite 963 east lisastad ri 21938 south marissaport mn 39537",N/A,net worth vat gross worth 1. microsoft xbox one 1 - 500 gb 100 each 17500 17500 10 19250 console black wl controller power supply good 2 nintendo dsoriginal ntr-001 300 each 099 297 10 327 console camouflage tested works 3 nintendo 2ds console blue 500 each 5499 27495 10 30245 japan model combine shipping available 2 summary vat net worth vat gross worth 10 45292 4529 49821 total 45292 4529 49821
"Invoice Number: 73285932, Date: 07/25/2017, Seller: , Client: merritt williams and young olson cisneros and moore 6801 frank run 80943 beck divide west in 06055 wadeport ia 90419",N/A,net worth vat gross worth bcbgeneration black sleeveless 200 each 299 598 10 658 lace back cut out dress sz 2 2 zpcs baby clothes cotton 500 each 1099 5495 10 6045 hoodied toppants baby boys outfits gentleman 3 nwt 1200 j crew silk chiffon 100 each 29500 29500 10 32450 ivory wedding dress with beading shein blue and white striped 500 each 800 4000 10 4400 wrap dress 5 guess dress size 6 200 each 2000 4000 10 00 clifford wills black 500 each 599 2995 10 3295 netimesh over taupe long dress size matilda jane womens light 300 each 5000 15000 10 16500 rising high low green floral dress size l pockets summary vat net worth vat gross worth 10 61588 6159 67747 total 61588 6159 67747 mary boys 44c
"Invoice Number: 15288019, Date: 09/07/2014, Seller: , Client: fernandez ltd wilson-wilson 06398 jensen loaf 85455 carter estate andrewton ar 65741 mooremouth ct 29699",N/A,net worth vat gross worth easy no tie rubber shoe laces 100 each 155 155 10 171 colored trainers snickers kids adults shoelaces summary vat net worth vat gross worth 10 155 016 171 total 155 016 171
"Invoice Number: 57290992, Date: 10/03/2011, Seller: , Client: adams plc johnson daniels and ramirez uss moon 6889 oliver summit fpo aa 34591 south ebony ny 23978",N/A,net worth vat gross worth 25x25 marble black top 500 each 2 78900 13 94500 10 15 33950 custom table carnelian marquetry art halloween gift 2 7x4 blue random marble 300 each 8 19409 24 58227 10 27 04050 dining hallway table top lapis lazuli decor e947a 3 6x3 white marble dining table 400 each 6 40849 25 63396 10 28 19736 top multi inlay floral elephant art decor h4952 summary vat net worth vat gross worth 10 64 16123 6 41612 70 57735 total 64 16123 6 41612 70 57735 inlay
"Invoice Number: 56908352, Date: 01/11/2015, Seller: , Client: lozano wang and smith evans curtis and salinas 8162 dunn radial 13078 mora garden lauraland id 83827 morseberg wv 48959",N/A,net worth vat gross worth rage by bob woodward 500 each 2293 11465 10 12612 donald trump new hardcover sept 2020 2 spectacular ireland coffee 400 each 1000 4000 10 4400 table book very large 3 the complete lifes little 400 each 409 1636 10 1800 instruction book by brown h_ jackson jr. summary vat net worth vat gross worth 10 17101 1710 18811 total 17101 1710 18811
"Invoice Number: 20012449, Date: 04/22/2013, Seller: , Client: jackson ltd combs inc 58538 brandon union apt. 536 433 ferguson land apt: 377 taylorshire pa 90588 kirkstad mn 16124",N/A,net worth vat gross worth press wine 20l fruit cider 100 each 29900 29900 10 32890 apple crusher juice grape stainless maker grapes new 2 marijuana leaf wine stopper 400 each 720 2880 10 3168 summary vat net worth vat gross worth 10 32780 3278 36058 total 32780 3278 36058
"Invoice Number: 87734908, Date: 12/19/2019, Seller: , Client: chase green and bailey buckley wright and chase unit 1572 box 9604 3524 chandler shoal dpo ap 69096 nicholasfurt va 09561",N/A,net worth vat gross worth the invisible life of addie larue 200 each 299 598 10 658 ebook new original high quality updated 2020 summary vat net worth vat gross worth 10 598 060 658 total 598 060 658
"Invoice Number: 92059706, Date: 04/28/2017, Seller: , Client: archer davis and hudson barton decker and ferguson 089 heath point suite 115 731 clark fords new david il 52837 johnbury hi 95582",N/A,net worth vat gross worth working super nintendo snes 400 each 8500 34000 10 37400 original system console wl mario world 2 sony playstation 5 console 300 each 84999 2 54997 10 2 80497 pss- presale- disc version order confirmed 3 nintendo wii console mario kart 300 each 19997 59991 10 65990 controller wii fit 2 board remotes game bundle summary vat net worth vat gross worth 10 3 48988 34899 3 83887 total 3 48988 34899 3 83887 pre
"Invoice Number: 72591450, Date: 05/13/2012, Seller: , Client: bishop kelley and wright allen murray and carroll 058 sullivan village 87328 arnold crossroad suite 206 north isabella nd 69747 south ms 29781",N/A,net worth vat gross worth dell optiplex desktop computer 500 each 14995 74975 10 82473 with dual 19 lcd monitors windows 10 pro 2 fast dell optiplex windows 10 300 each 11995 35985 10 39584 pro desktop computer dual core 6gb 160gb dvd wifi 3 hp prodesk 400 gs mini 500 each 20050 1 00250 10 1 10275 desktop computer i5-9500t 8gb 256gb ssd wiop custom gaming computer 200 each 45000 90000 10 99000 5 fast dell optiplex windows 10 300 each 12495 37485 10 41234 desktop computer tower czd 4gb dvd wifi 17 lcd amd dual core 3.9ghz 4gb 300 each 24999 74997 10 82497 ddr3 500gb wifi windows 10 office desktop pc computer custom build dell optiplex 9020 300 each 22199 66597 10 73257 mt i5-4570 3.20ghz desktop computer pc summary vat net worth vat gross worth 10 4 80289 48029 5 28318 total 4 80289 48029 5 28318 amy
"Invoice Number: 35593328, Date: 06/08/2011, Seller: , Client: cruz-carter alexander-arias 11251 braun square 63947 erin parkway apt: 073 north alejandro ut 73496 guzmanshire ny 08857",N/A,net worth vat gross worth hp all in one desktop computer 400 each 20500 82000 10 90200 touch screen 2 ws pro mini pocket pc windows 300 each 11900 35700 10 39270 10 computer stick intel z8350 quad core 3 gaming pc desktop computer 100 each 99950 99950 10 1 09945 hdmi rgb intel i7 rtx 2060 hddssd windows 10 wifi lenovo c2o-oo..all in one 200 each 27764 55528 10 61081 desktop computer with wireless mouse_ summary vat net worth vat gross worth 10 2 73178 27318 3 00496 total 2 73178 27318 3 00496
"Invoice Number: 32135544, Date: 08/16/2014, Seller: , Client: reed and sons lucas-barnett unit 5010 box 0461 usns scott dpo aa 27717 fpo aa 73490",N/A,net worth vat gross worth wine bottle storage 6 slots 400 each 3059 12236 10 13460 modern countertop metal rack kitchen bar organizer 2 anthropologie gold elegant 400 each 1998 7992 10 8791 swan decorative metal bottle stopper wine saver 3 mdesign metal wine rack 400 each 4499 17996 10 19796 storage organizer 12 bottles dark gray tiffany and co pair 2 stemless 200 each 7499 14998 10 16498 wine champagne glasses original stickers no box 5 outdoor wine glass beer holder 300 each 1144 3432 10 3775 to armrest with attachments red wine base _yoxq hardwood wine rack 12 bottles 300 each 2000 6000 10 6600 very nice eonophiles delight summary vat net worth vat gross worth 10 62654 6265 68919 total 62654 6265 68919
"Invoice Number: 67117171, Date: 01/27/2021, Seller: , Client: gilmore brady and carter phillips-moreno 56436 dam suite 437 1293 lawrence estates suite 940 lake rebecca la 78907 besthaven nv 23717",N/A,net worth vat gross worth the complete idiots guide to 400 each 449 1796 10 1976 trouble-free home re 2 aesops fables aesop illustrated 400 each 3465 13860 10 15246 by a. rackham sealed leather bound collectible summary vat net worth vat gross worth 10 15656 1566 17222 total 15656 1566 17222 amy
"Invoice Number: 86164702, Date: 05/15/2020, Seller: , Client: peterson hester and mckee hernandez wright and pena unit 6986 box 0053 01185 sherry manor dpo ae 88791 robertburgh il 76443",N/A,net worth vat gross worth dell optiplex all in one 500 each 12999 64995 10 71495 windows 10 desktop computer 780 3.oghz 4gb 250gb 19 lcd summary vat net worth vat gross worth 10 64995 6500 71495 total 64995 6500 71495
"Invoice Number: 46920651, Date: 11/15/2015, Seller: , Client: powell ltd clark brown and jones 008 gallagher unions 252 courtney motorway south brettton fl 39360 north laurie dc 43805",N/A,net worth vat gross worth new 6 pcs rabbit wine opener 400 each 1995 7980 10 8778 set with accessories tools gift box a16 2 alcoholmeter alcohol meter 300 each 1408 4224 10 4646 wine 0-100thermometer set bar tools vintage tester 3 vintage metal art sculpture 400 each 2598 10392 10 11431 carving chef wine bottle holder and display tin chef grand reserve wine bottle 200 each 3999 7998 10 8798 opener bar stand table top cork puller 5 wine opener accessories gift 100 each 1171 1171 10 1288 tools set with waiters corkscrew opener 5 piece 6 2 stacking metal 8 wine bottle 100 each 1699 1699 10 1869 holder storage rack 8 bottles counter display home essentials gradient 400 each 1299 5196 10 5716 stemless wine glasses set of 4 20 fl oz 591 ml new summary vat net worth vat gross worth 10 38660 3866 42526 total 38660 3866 42526
